상품코드,상품명,매입단가,매입단가 계산,매출단가,매출단가 계산,실매출단가,VAT
P00001, 고 드 름(블루),384,384,0,506.88,500,Y
P00002, 더위사냥(오렌지),0,509,700,700,700,Y
P00003, 델리어트,2745,2745,0,3623.4,3620,Y
P00004, 링 키 바,1647,1647,3000,3000,3000,Y
P00005, 마제스티(호두),2196,2196,0,2898.72,2890,Y
P00006, 메 타 콘(딸기),549,549,0,724.68,720,Y
P00007, 빙고(밀크맛),327,327,0,431.64,430,Y
P00008, 빙하시대(커피),384,384,0,506.88,500,Y
P00009, 빙하시대(파인),384,384,0,506.88,500,Y
P00010, 설레임커피쉐이크,655,655,0,864.6,860,Y
P00011, 셀렉션,0,3636,5000,5000,5000,Y
P00012, 스크류,327,327,0,431.64,430,Y
P00013, 에너보틀,0,727,1000,1000,1000,Y
P00014, 옥동자(초코),0,364,500,500,500,Y
P00015, 와(바닐라&커피),0,727,1000,1000,1000,Y
P00016, 와(바닐라),524,524,0,691.68,690,Y
P00017, 와일드(바닐라),0,364,500,500,500,Y
P00018, 월드콘(바닐라),655,655,0,864.6,860,Y
P00019, 위    즐(커피),2745,2745,0,3623.4,3620,Y
P00020, 위즐(캐러멜콘),0,3636,5000,5000,5000,Y
P00021, 조안나바,1647,1647,0,2174.04,2170,Y
P00022, 주물러(개구리),327,327,0,431.64,430,Y
P00023, 주물러(콜.배),274,274,0,361.68,360,Y
P00024, 카페프레소,655,655,0,864.6,860,Y
P00025, 커피동자,0,364,500,500,500,Y
P00026, 쿠키앤크림,0,2909,4000,4000,4000,Y
P00027, 클래스(딸기),2196,2196,0,2898.72,2890,Y
P00028, 투게더(大),0,3636,5000,5000,5000,Y
P00029, 티     코,0,2909,4000,4000,4000,Y
P00030, 팥 빙 수,0,1091,1500,1500,1500,Y
P00031, 프리마또,0,727,1000,1000,1000,Y
P00032, 한 떨 기,549,549,0,724.68,720,Y
P00033,(신)ABC쵸콜렛,887,887,0,1170.84,1170,Y
P00034,(신)k400/36,0,2909,4000,4000,4000,Y
P00035,(신)고구마깡,0,436,600,600,600,Y
P00036,(신)구이쥐치포,0,1091,1500,1500,1500,Y
P00037,(신)땅콩꽈배기,497,497,0,656.04,650,Y
P00038,(신)바나나킥,0,436,600,600,600,Y
P00039,(신)새우깡,411,411,0,542.52,540,Y
P00040,(신)새우탕큰사발,0,655,900,900,900,Y
P00041,(신)신라면큰사발,532,532,900,900,900,Y
